# SRC: TARGET_NAME 
# RA: 17 h 45 m 40.0410 s
# DEC: -29 deg  0 m 28.1180 s
# MJD: 0.1111 - 0.7950 
# RF: 227.2970 GHz 
# BW: 4.0960 GHz 
# PHASECAL: 1 
# AMPCAL: 1 
# ----------------------------------------------------------------
# Site       X(m)             Y(m)             Z(m)           SEFD
# ALMA50     2225037.18510   -5441199.16200   -2479303.46290  110.0000 
# SMTO      -1828796.20000   -5054406.80000    3427865.20000  11900.0000 
# LMT        -768713.96370   -5988541.79820    2063275.94720  560.0000 
# Hawaii8   -5464523.40000   -2493147.08000    2150611.75000  4900.0000 
# PV         5088967.90000    -301681.60000    3825015.80000  2900.0000 
# PdBI       4523998.40000     468045.24000    4460309.76000  1600.0000 
# SPT              0.00000          0.00000   -6359587.30000  7300.0000 
# GLT        1500692.00000   -1191735.00000    6066409.00000  4744.0000 
# ----------------------------------------------------------------
# time (hr) tint    T1     T2    Elev1   Elev2  Tau1   Tau2   U (lambda)       V (lambda)         Iamp (Jy)    Iphase(d)  Qamp (Jy)    Qphase(d)   Uamp (Jy)    Uphase(d)   sigma (Jy)
14.01388889 10.00   SMTO    LMT  0.00   0.00  0.00   0.00  -1075485850.0000   965427540.0000    0.01262300  -168.3903   0.00000000     0.0000    0.00000000     0.0000    0.00902000
14.01666667 10.00   SMTO    SPT  0.00   0.00  0.00   0.00   1884714740.0000  8320485310.0000    0.04700100    20.8658   0.00000000     0.0000    0.00000000     0.0000    0.03256000
14.01666667 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -1443086680.0000  7809194740.0000    0.03753500    66.2823   0.00000000     0.0000    0.00000000     0.0000    0.02090000
14.01666667 10.00    LMT    SPT  0.00   0.00  0.00   0.00   2960121420.0000  7354677480.0000    0.00389900   -55.5207   0.00000000     0.0000    0.00000000     0.0000    0.00706000
14.01666667 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4403208100.0000   454517260.0000    0.03652700   -31.6628   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
14.01666667 10.00   SMTO Hawaii8  0.00   0.00  0.00   0.00   3327801420.0000   511290580.0000    0.05858100  -151.2683   0.00000000     0.0000    0.00000000     0.0000    0.02668000
14.01666667 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -2325246800.0000  4957545480.0000    0.00190100  -132.7061   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
14.01666667 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   4209961550.0000  3362939830.0000    0.00846300  -143.1997   0.00000000     0.0000    0.00000000     0.0000    0.00313000
14.01666667 10.00 Hawaii8 ALMA50  0.00   0.00  0.00   0.00  -5653048230.0000  4446254910.0000    0.00916100  -153.7020   0.00000000    -0.0000    0.00000000    -0.0000    0.00257000
14.01666667 10.00    LMT ALMA50  0.00   0.00  0.00   0.00  -1249840120.0000  3991737650.0000    0.01081500  -162.6647   0.00000000    -0.0000    0.00000000    -0.0000    0.00087000
14.01666667 10.00   SMTO    LMT  0.00   0.00  0.00   0.00  -1075406680.0000   965807830.0000    0.02283800   -71.5103   0.00000000     0.0000    0.00000000     0.0000    0.00902000
14.01944444 10.00   SMTO    SPT  0.00   0.00  0.00   0.00   1887379260.0000  8319818380.0000    0.02918000   -27.5228   0.00000000     0.0000    0.00000000     0.0000    0.03256000
14.01944444 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -1439905110.0000  7809704470.0000    0.01856800   152.4507   0.00000000     0.0000    0.00000000     0.0000    0.02090000
14.01944444 10.00    LMT    SPT  0.00   0.00  0.00   0.00   2962706200.0000  7353630280.0000    0.00977200    88.2003   0.00000000     0.0000    0.00000000     0.0000    0.00706000
14.01944444 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4402611320.0000   456074200.0000    0.02224700    -7.2119   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
14.01944444 10.00   SMTO    LMT  0.00   0.00  0.00   0.00  -1075326940.0000   966188100.0000    0.01158200   -91.8903   0.00000000     0.0000    0.00000000     0.0000    0.00902000
14.01944444 10.00 Hawaii8 ALMA50  0.00   0.00  0.00   0.00  -5651018710.0000  4448253560.0000    0.00651200  -134.3330   0.00000000    -0.0000    0.00000000    -0.0000    0.00257000
14.01944444 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   4211113590.0000  3361450910.0000    0.01170400  -177.1095   0.00000000     0.0000    0.00000000     0.0000    0.00313000
14.01944444 10.00   SMTO Hawaii8  0.00   0.00  0.00   0.00   3327284370.0000   510113900.0000    0.06111000   -89.9891   0.00000000     0.0000    0.00000000     0.0000    0.02668000
14.01944444 10.00    LMT ALMA50  0.00   0.00  0.00   0.00  -1248407390.0000  3992179360.0000    0.00988800  -166.8693   0.00000000    -0.0000    0.00000000    -0.0000    0.00087000
14.01944444 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -2323734330.0000  4958367460.0000    0.01299000   -79.6556   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
14.02222222 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -1436722800.0000  7810213080.0000    0.04180700  -122.0121   0.00000000     0.0000    0.00000000     0.0000    0.02090000
14.02222222 10.00    LMT    SPT  0.00   0.00  0.00   0.00   2965289390.0000  7352582160.0000    0.00269600   176.7199   0.00000000     0.0000    0.00000000     0.0000    0.00706000
14.02222222 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4402012190.0000   457630920.0000    0.01381100   -58.4809   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
14.02222222 10.00   SMTO    SPT  0.00   0.00  0.00   0.00   1890042760.0000  8319150500.0000    0.03784400   130.5012   0.00000000     0.0000    0.00000000     0.0000    0.03256000
14.02222222 10.00   SMTO Hawaii8  0.00   0.00  0.00   0.00   3326765560.0000   508937420.0000    0.08264500   -79.2499   0.00000000     0.0000    0.00000000     0.0000    0.02668000
14.02222222 10.00   SMTO    LMT  0.00   0.00  0.00   0.00  -1075246630.0000   966568340.0000    0.01134800  -114.7118   0.00000000     0.0000    0.00000000     0.0000    0.00902000
14.02222222 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   4212263390.0000  3359961600.0000    0.00841700  -174.5651   0.00000000     0.0000    0.00000000     0.0000    0.00313000
14.02222222 10.00 Hawaii8 ALMA50  0.00   0.00  0.00   0.00  -5648986190.0000  4450251490.0000    0.00447800  -139.9388   0.00000000    -0.0000    0.00000000    -0.0000    0.00257000
14.02222222 10.00    LMT ALMA50  0.00   0.00  0.00   0.00  -1246974000.0000  3992620560.0000    0.01043000  -168.1526   0.00000000    -0.0000    0.00000000    -0.0000    0.00087000
14.02222222 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -2322220630.0000  4959188900.0000    0.00519500   -94.3840   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
14.02500000 10.00    LMT    SPT  0.00   0.00  0.00   0.00   2967871010.0000  7351533130.0000    0.00442500   136.5875   0.00000000     0.0000    0.00000000     0.0000    0.00706000
14.02500000 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4401410730.0000   459187430.0000    0.02319700   -14.9099   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
14.02500000 10.00   SMTO    SPT  0.00   0.00  0.00   0.00   1892705260.0000  8318481680.0000    0.09336800    76.1325   0.00000000     0.0000    0.00000000     0.0000    0.03256000
14.02500000 10.00   SMTO Hawaii8  0.00   0.00  0.00   0.00   3326244980.0000   507761110.0000    0.02487500   -61.8321   0.00000000     0.0000    0.00000000     0.0000    0.02668000
14.02500000 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -1433539720.0000  7810720570.0000    0.00874200  -117.8677   0.00000000     0.0000    0.00000000     0.0000    0.02090000
14.02500000 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   4213410950.0000  3358471870.0000    0.01405600  -142.5205   0.00000000     0.0000    0.00000000     0.0000    0.00313000
14.02500000 10.00 Hawaii8 ALMA50  0.00   0.00  0.00   0.00  -5646950670.0000  4452248690.0000    0.00168700   -14.6154   0.00000000    -0.0000    0.00000000    -0.0000    0.00257000
14.02500000 10.00    LMT ALMA50  0.00   0.00  0.00   0.00  -1245539950.0000  3993061260.0000    0.00912200  -163.6239   0.00000000    -0.0000    0.00000000    -0.0000    0.00087000
14.02500000 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -2320705690.0000  4960009810.0000    0.00354600  -115.7079   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
14.02500000 10.00   SMTO    LMT  0.00   0.00  0.00   0.00  -1075165750.0000   966948550.0000    0.01554700  -127.5508   0.00000000     0.0000    0.00000000     0.0000    0.00902000
14.02777778 10.00    LMT    SPT  0.00   0.00  0.00   0.00   2970451060.0000  7350483190.0000    0.00447000    89.5371   0.00000000     0.0000    0.00000000     0.0000    0.00706000
14.02777778 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4400806920.0000   460743740.0000    0.02653100     4.7741   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
14.02777778 10.00   SMTO    SPT  0.00   0.00  0.00   0.00   1895366760.0000  8317811920.0000    0.01350100  -158.5700   0.00000000     0.0000    0.00000000     0.0000    0.03256000
14.02777778 10.00   SMTO Hawaii8  0.00   0.00  0.00   0.00   3325722630.0000   506584990.0000    0.02660200   174.3543   0.00000000     0.0000    0.00000000     0.0000    0.02668000
14.02777778 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -1430355860.0000  7811226930.0000    0.00742300   -88.2418   0.00000000     0.0000    0.00000000     0.0000    0.02090000
14.02777778 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   4214556280.0000  3356981740.0000    0.01252000  -159.4654   0.00000000     0.0000    0.00000000     0.0000    0.00313000
14.02777778 10.00 Hawaii8 ALMA50  0.00   0.00  0.00   0.00  -5644912140.0000  4454245190.0000    0.00865800  -150.1135   0.00000000    -0.0000    0.00000000    -0.0000    0.00257000
14.02777778 10.00    LMT ALMA50  0.00   0.00  0.00   0.00  -1244105220.0000  3993501450.0000    0.00854600  -159.3151   0.00000000    -0.0000    0.00000000    -0.0000    0.00087000
14.02777778 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -2319189520.0000  4960830180.0000    0.01255300  -124.3939   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
14.02777778 10.00   SMTO    LMT  0.00   0.00  0.00   0.00  -1075084290.0000   967328730.0000    0.00641400   151.3968   0.00000000     0.0000    0.00000000     0.0000    0.00902000
14.03055556 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -1427171260.0000  7811732160.0000    0.01509700   -46.8763   0.00000000     0.0000    0.00000000     0.0000    0.02090000
14.03055556 10.00    LMT    SPT  0.00   0.00  0.00   0.00   2973029510.0000  7349432340.0000    0.00712700   139.2192   0.00000000     0.0000    0.00000000     0.0000    0.00706000
14.03055556 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4400200770.0000   462299830.0000    0.02808200    -5.8920   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
14.03055556 10.00   SMTO    SPT  0.00   0.00  0.00   0.00   1898027250.0000  8317141220.0000    0.03369200   163.7489   0.00000000     0.0000    0.00000000     0.0000    0.03256000
14.03055556 10.00   SMTO Hawaii8  0.00   0.00  0.00   0.00   3325198510.0000   505409060.0000    0.06470800   -58.5027   0.00000000     0.0000    0.00000000     0.0000    0.02668000
14.03055556 10.00   SMTO    LMT  0.00   0.00  0.00   0.00  -1075002270.0000   967708880.0000    0.01679100   145.8706   0.00000000     0.0000    0.00000000     0.0000    0.00902000
14.03055556 10.00 Hawaii8 ALMA50  0.00   0.00  0.00   0.00  -5642870620.0000  4456240960.0000    0.00640500  -172.9671   0.00000000    -0.0000    0.00000000    -0.0000    0.00257000
14.03055556 10.00    LMT ALMA50  0.00   0.00  0.00   0.00  -1242669850.0000  3993941130.0000    0.01128000  -160.9929   0.00000000    -0.0000    0.00000000    -0.0000    0.00087000
14.03055556 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -2317672110.0000  4961650010.0000    0.01467800   -52.0629   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
14.03055556 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   4215699360.0000  3355491200.0000    0.01307800  -153.8611   0.00000000     0.0000    0.00000000     0.0000    0.00313000
14.03333333 10.00   SMTO    SPT  0.00   0.00  0.00   0.00   1900686730.0000  8316469570.0000    0.04979500   -22.2147   0.00000000     0.0000    0.00000000     0.0000    0.03256000
14.03333333 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -1423985890.0000  7812236270.0000    0.02428300    15.4661   0.00000000     0.0000    0.00000000     0.0000    0.02090000
14.03333333 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4399592280.0000   463855700.0000    0.02110200   -12.6196   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
14.03333333 10.00   SMTO Hawaii8  0.00   0.00  0.00   0.00   3324672620.0000   504233300.0000    0.08094100  -144.9055   0.00000000     0.0000    0.00000000     0.0000    0.02668000
14.03333333 10.00    LMT    SPT  0.00   0.00  0.00   0.00   2975606400.0000  7348380570.0000    0.01671900    -7.8785   0.00000000     0.0000    0.00000000     0.0000    0.00706000
14.03333333 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   4216840200.0000  3354000260.0000    0.01140400  -173.3008   0.00000000     0.0000    0.00000000     0.0000    0.00313000
14.03333333 10.00 Hawaii8 ALMA50  0.00   0.00  0.00   0.00  -5640826090.0000  4458236010.0000    0.00475600  -117.2439   0.00000000    -0.0000    0.00000000    -0.0000    0.00257000
14.03333333 10.00    LMT ALMA50  0.00   0.00  0.00   0.00  -1241233800.0000  3994380310.0000    0.00921000  -167.8465   0.00000000    -0.0000    0.00000000    -0.0000    0.00087000
14.03333333 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -2316153470.0000  4962469310.0000    0.00484500  -108.5669   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
14.03333333 10.00   SMTO    LMT  0.00   0.00  0.00   0.00  -1074919670.0000   968089010.0000    0.00659100   142.7383   0.00000000     0.0000    0.00000000     0.0000    0.00902000
14.03611111 10.00    LMT    SPT  0.00   0.00  0.00   0.00   2978181690.0000  7347327890.0000    0.00591500   113.7611   0.00000000     0.0000    0.00000000     0.0000    0.00706000
14.03611111 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4398981460.0000   465411360.0000    0.01892700     8.9376   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
14.03611111 10.00   SMTO    SPT  0.00   0.00  0.00   0.00   1903345190.0000  8315796990.0000    0.01143900  -159.6946   0.00000000     0.0000    0.00000000     0.0000    0.03256000
14.03611111 10.00   SMTO Hawaii8  0.00   0.00  0.00   0.00   3324144960.0000   503057740.0000    0.02230000   135.9630   0.00000000     0.0000    0.00000000     0.0000    0.02668000
14.03611111 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -1420799770.0000  7812739250.0000    0.02555500  -137.6547   0.00000000     0.0000    0.00000000     0.0000    0.02090000
14.03611111 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   4217978800.0000  3352508920.0000    0.01643600  -133.4347   0.00000000     0.0000    0.00000000     0.0000    0.00313000
14.03611111 10.00 Hawaii8 ALMA50  0.00   0.00  0.00   0.00  -5638778560.0000  4460230330.0000    0.00372300  -146.8185   0.00000000    -0.0000    0.00000000    -0.0000    0.00257000
14.03611111 10.00    LMT ALMA50  0.00   0.00  0.00   0.00  -1239797100.0000  3994818970.0000    0.00937900  -159.1722   0.00000000    -0.0000    0.00000000    -0.0000    0.00087000
14.03611111 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -2314633600.0000  4963288070.0000    0.01136000   -78.7102   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
14.03611111 10.00   SMTO    LMT  0.00   0.00  0.00   0.00  -1074836500.0000   968469100.0000    0.00551100    76.0408   0.00000000     0.0000    0.00000000     0.0000    0.00902000
14.03888889 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -1417612890.0000  7813241100.0000    0.01986500   -61.2942   0.00000000     0.0000    0.00000000     0.0000    0.02090000
14.03888889 10.00    LMT    SPT  0.00   0.00  0.00   0.00   2980755400.0000  7346274310.0000    0.01521500   -51.0377   0.00000000     0.0000    0.00000000     0.0000    0.00706000
14.03888889 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4398368290.0000   466966800.0000    0.02153400   -27.7536   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
14.03888889 10.00   SMTO    SPT  0.00   0.00  0.00   0.00   1906002640.0000  8315123470.0000    0.05161700   123.6361   0.00000000     0.0000    0.00000000     0.0000    0.03256000
14.03888889 10.00   SMTO Hawaii8  0.00   0.00  0.00   0.00   3323615540.0000   501882370.0000    0.04714100  -150.3169   0.00000000     0.0000    0.00000000     0.0000    0.02668000
14.03888889 10.00   SMTO    LMT  0.00   0.00  0.00   0.00  -1074752760.0000   968849160.0000    0.01088200   -39.8772   0.00000000     0.0000    0.00000000     0.0000    0.00902000
14.03888889 10.00 Hawaii8 ALMA50  0.00   0.00  0.00   0.00  -5636728040.0000  4462223920.0000    0.00408800  -125.8583   0.00000000    -0.0000    0.00000000    -0.0000    0.00257000
14.03888889 10.00    LMT ALMA50  0.00   0.00  0.00   0.00  -1238359750.0000  3995257130.0000    0.00946800  -159.2272   0.00000000    -0.0000    0.00000000    -0.0000    0.00087000
14.03888889 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -2313112510.0000  4964106290.0000    0.00873800   -33.8245   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
14.03888889 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   4219115150.0000  3351017180.0000    0.00718200  -137.8904   0.00000000     0.0000    0.00000000     0.0000    0.00313000
14.04166667 10.00   SMTO    SPT  0.00   0.00  0.00   0.00   1908659090.0000  8314449010.0000    0.07775200    78.9120   0.00000000     0.0000    0.00000000     0.0000    0.03256000
14.04166667 10.00    LMT    SPT  0.00   0.00  0.00   0.00   2983327540.0000  7345219810.0000    0.01216400   167.0508   0.00000000     0.0000    0.00000000     0.0000    0.00706000
14.04166667 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4397752790.0000   468522020.0000    0.03112100    -7.6501   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
14.04166667 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -1414425250.0000  7813741830.0000    0.01538100   -38.4818   0.00000000     0.0000    0.00000000     0.0000    0.02090000
14.04166667 10.00   SMTO Hawaii8  0.00   0.00  0.00   0.00   3323084340.0000   500707180.0000    0.05416900   -79.6685   0.00000000     0.0000    0.00000000     0.0000    0.02668000
14.04166667 10.00 Hawaii8 ALMA50  0.00   0.00  0.00   0.00  -5634674510.0000  4464216800.0000    0.00657600  -130.5001   0.00000000    -0.0000    0.00000000    -0.0000    0.00257000
14.04166667 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   4220249260.0000  3349525030.0000    0.01082300  -145.8636   0.00000000     0.0000    0.00000000     0.0000    0.00313000
14.04166667 10.00    LMT ALMA50  0.00   0.00  0.00   0.00  -1236921730.0000  3995694780.0000    0.01045900  -169.2126   0.00000000    -0.0000    0.00000000    -0.0000    0.00087000
14.04166667 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -2311590170.0000  4964923980.0000    0.00141000   -20.2740   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
14.04166667 10.00   SMTO    LMT  0.00   0.00  0.00   0.00  -1074668450.0000   969229200.0000    0.00431100    68.9237   0.00000000     0.0000    0.00000000     0.0000    0.00902000
14.04444444 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -1411236870.0000  7814241430.0000    0.03003600   -54.6156   0.00000000     0.0000    0.00000000     0.0000    0.02090000
14.04444444 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4397134950.0000   470077030.0000    0.02606400   -31.9720   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
14.04444444 10.00   SMTO    SPT  0.00   0.00  0.00   0.00   1911314520.0000  8313773610.0000    0.03570200  -155.0096   0.00000000     0.0000    0.00000000     0.0000    0.03256000
14.04444444 10.00   SMTO Hawaii8  0.00   0.00  0.00   0.00   3322551390.0000   499532180.0000    0.04493000  -133.2140   0.00000000     0.0000    0.00000000     0.0000    0.02668000
14.04444444 10.00    LMT    SPT  0.00   0.00  0.00   0.00   2985898080.0000  7344164400.0000    0.00371100  -136.7070   0.00000000     0.0000    0.00000000     0.0000    0.00706000
14.04444444 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   4221381130.0000  3348032480.0000    0.01060800  -151.7076   0.00000000     0.0000    0.00000000     0.0000    0.00313000
14.04444444 10.00 Hawaii8 ALMA50  0.00   0.00  0.00   0.00  -5632618000.0000  4466208940.0000    0.00581500  -166.5085   0.00000000    -0.0000    0.00000000    -0.0000    0.00257000
14.04444444 10.00    LMT ALMA50  0.00   0.00  0.00   0.00  -1235483050.0000  3996131920.0000    0.01081300  -161.6781   0.00000000    -0.0000    0.00000000    -0.0000    0.00087000
14.04444444 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -2310066610.0000  4965741120.0000    0.00560300   -34.8132   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
14.04444444 10.00   SMTO    LMT  0.00   0.00  0.00   0.00  -1074583560.0000   969609200.0000    0.00871400  -136.1280   0.00000000     0.0000    0.00000000     0.0000    0.00902000
14.04722222 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -1408047740.0000  7814739900.0000    0.01362100  -170.3835   0.00000000     0.0000    0.00000000     0.0000    0.02090000
14.04722222 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -2308541830.0000  4966557730.0000    0.00861700   -68.3769   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
14.04722222 10.00    LMT ALMA50  0.00   0.00  0.00   0.00  -1234043720.0000  3996568550.0000    0.00841400  -161.3357   0.00000000    -0.0000    0.00000000    -0.0000    0.00087000
14.04722222 10.00 Hawaii8 ALMA50  0.00   0.00  0.00   0.00  -5630558490.0000  4468200360.0000    0.00351600  -146.0673   0.00000000    -0.0000    0.00000000    -0.0000    0.00257000
14.04722222 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   4222510750.0000  3346539540.0000    0.01357200   176.2557   0.00000000     0.0000    0.00000000     0.0000    0.00313000
14.04722222 10.00   SMTO    LMT  0.00   0.00  0.00   0.00  -1074498110.0000   969989180.0000    0.00743900    42.7091   0.00000000     0.0000    0.00000000     0.0000    0.00902000
14.04722222 10.00   SMTO Hawaii8  0.00   0.00  0.00   0.00   3322016660.0000   498357370.0000    0.04269300  -157.5811   0.00000000     0.0000    0.00000000     0.0000    0.02668000
14.04722222 10.00   SMTO    SPT  0.00   0.00  0.00   0.00   1913968920.0000  8313097270.0000    0.03662400   169.6531   0.00000000     0.0000    0.00000000     0.0000    0.03256000
14.04722222 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4396514770.0000   471631810.0000    0.03064300    -0.2300   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
14.04722222 10.00    LMT    SPT  0.00   0.00  0.00   0.00   2988467030.0000  7343108090.0000    0.00376200    71.8156   0.00000000     0.0000    0.00000000     0.0000    0.00706000
14.05000000 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4395892250.0000   473186380.0000    0.02463200   -43.5054   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
14.05000000 10.00   SMTO    SPT  0.00   0.00  0.00   0.00   1916622320.0000  8312419990.0000    0.05009200  -142.1567   0.00000000     0.0000    0.00000000     0.0000    0.03256000
14.05000000 10.00    LMT    SPT  0.00   0.00  0.00   0.00   2991034400.0000  7342050860.0000    0.00692200   -14.6562   0.00000000     0.0000    0.00000000     0.0000    0.00706000
14.05000000 10.00   SMTO Hawaii8  0.00   0.00  0.00   0.00   3321480170.0000   497182740.0000    0.09194900  -149.9811   0.00000000     0.0000    0.00000000     0.0000    0.02668000
14.05000000 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -1404857850.0000  7815237240.0000    0.03120500     7.8954   0.00000000     0.0000    0.00000000     0.0000    0.02090000
14.05000000 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   4223638130.0000  3345046190.0000    0.01297400  -176.2596   0.00000000     0.0000    0.00000000     0.0000    0.00313000
14.05000000 10.00 Hawaii8 ALMA50  0.00   0.00  0.00   0.00  -5628495970.0000  4470191050.0000    0.00695900  -113.6573   0.00000000    -0.0000    0.00000000    -0.0000    0.00257000
14.05000000 10.00    LMT ALMA50  0.00   0.00  0.00   0.00  -1232603730.0000  3997004670.0000    0.00990200  -153.2162   0.00000000    -0.0000    0.00000000    -0.0000    0.00087000
14.05000000 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -2307015810.0000  4967373800.0000    0.00556000   -35.0385   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
14.05000000 10.00   SMTO    LMT  0.00   0.00  0.00   0.00  -1074412080.0000   970369120.0000    0.00839200    61.9309   0.00000000     0.0000    0.00000000     0.0000    0.00902000
14.05277778 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -1401667220.0000  7815733460.0000    0.02649800  -115.8038   0.00000000     0.0000    0.00000000     0.0000    0.02090000
14.05277778 10.00    LMT    SPT  0.00   0.00  0.00   0.00   2993600170.0000  7340992730.0000    0.01034800  -128.0525   0.00000000     0.0000    0.00000000     0.0000    0.00706000
14.05277778 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4395267390.0000   474740730.0000    0.02312600    12.4122   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
14.05277778 10.00   SMTO    SPT  0.00   0.00  0.00   0.00   1919274690.0000  8311741770.0000    0.03772200   107.0428   0.00000000     0.0000    0.00000000     0.0000    0.03256000
14.05277778 10.00   SMTO Hawaii8  0.00   0.00  0.00   0.00   3320941910.0000   496008310.0000    0.03524500   176.9024   0.00000000     0.0000    0.00000000     0.0000    0.02668000
14.05277778 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -2305488570.0000  4968189320.0000    0.00649800  -148.1979   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
14.05277778 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   4224763260.0000  3343552450.0000    0.01079700  -141.5926   0.00000000     0.0000    0.00000000     0.0000    0.00313000
14.05277778 10.00 Hawaii8 ALMA50  0.00   0.00  0.00   0.00  -5626430480.0000  4472181010.0000    0.00333500   146.8486   0.00000000    -0.0000    0.00000000    -0.0000    0.00257000
14.05277778 10.00    LMT ALMA50  0.00   0.00  0.00   0.00  -1231163090.0000  3997440290.0000    0.01159600  -159.2400   0.00000000    -0.0000    0.00000000    -0.0000    0.00087000
14.05277778 10.00   SMTO    LMT  0.00   0.00  0.00   0.00  -1074325480.0000   970749040.0000    0.01047900   -77.9226   0.00000000     0.0000    0.00000000     0.0000    0.00902000
14.05555556 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -1398475850.0000  7816228550.0000    0.05851900    73.4598   0.00000000     0.0000    0.00000000     0.0000    0.02090000
14.05555556 10.00    LMT    SPT  0.00   0.00  0.00   0.00   2996164350.0000  7339933700.0000    0.00431400    24.1174   0.00000000     0.0000    0.00000000     0.0000    0.00706000
14.05555556 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4394640200.0000   476294850.0000    0.02370900   -30.0038   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
